created_at,handle,mined_at,retweet_count,text,tweet_id
Wed Oct 16 22:19:13 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072761,22230,"I’m fighting for the American people, but the Democrats’ sole focus is fighting against ME with their fraudulent Wi… https://t.co/8P09w45uGC",1184594674541121537
Wed Oct 16 21:17:07 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072762,45859,FAKE NEWS! https://t.co/ta8ii8yetP,1184579045138337794
Wed Oct 16 21:08:16 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072763,17605,"THANK YOU, WORKING HARD! https://t.co/sNUppjB4Xm",1184576819309228034
Wed Oct 16 19:33:24 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072765,14108,https://t.co/O8E3i8kJwS,1184552942545920005
Wed Oct 16 18:44:06 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072766,20275,"Guatemala, Honduras &amp; El Salvador have all signed historic Asylum Cooperation Agreements and are working to end the… https://t.co/yD17W9yoC2",1184540536134406144
Wed Oct 16 18:05:43 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072767,24604,"Senator Rand Paul just wrote a great book, “The Case Against Socialism” which is now out. Highly recommended – as A… https://t.co/GblFOclQdM",1184530879999348739
Wed Oct 16 11:46:25 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072768,22270,"Republicans are totally deprived of their rights in this Impeachment Witch Hunt. No lawyers, no questions, no trans… https://t.co/Qd968Gn6bI",1184435422346305537
Wed Oct 16 11:29:50 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072769,29874,"Our record Economy would CRASH, just like in 1929, if any of those clowns became President!",1184431250066624512
Wed Oct 16 11:25:52 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072770,26418,"95% Approval Rating in the Republican Party. Thank you! Just won two Congressional Seats in North Carolina,  &amp; a Go… https://t.co/XOLNddjsgk",1184430253541859328
Wed Oct 16 11:14:11 +0000 2019,Donald J. Trump,2019-10-23 14:22:28.072771,20168,“What is happening to President Trump with Impeachment is a Constitutional Travesty.” @GrahamLedger  The likes of w… https://t.co/iXGclnCzpW,1184427310935609345
